City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Hambantota,LK,78.46,overcast clouds,6.1241,81.1185,Bungalow 63
592,Riyadh,SA,89.74,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
593,Kingston,JM,85.15,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
597,Qui Nhon,VN,78.8,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
599,Bosaso,SO,88.43,broken clouds,11.2842,49.1816,Red Sea Hotel
600,Cockburn Town,TC,80.98,few clouds,21.4612,-71.1419,Osprey Beach Hotel
602,Warrensburg,US,88.02,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
604,Puerto Carreno,CO,77.65,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
606,Iberia,US,89.98,thunderstorm,29.9502,-91.7507,back to back rv park
610,Matara,LK,76.64,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
611,Zurrieq,MT,78.96,clear sky,35.8311,14.4742,M'Anglu
612,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
613,Mangrol,IN,82.09,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
618,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
621,Dawson Creek,CA,81.34,broken clouds,55.7666,-120.2362,Peace Villa Motel
628,Lorengau,PG,83.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
629,Waynesville,US,76.87,broken clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
635,Mareeba,AU,75.33,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
640,Hobyo,SO,76.69,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
641,Agua Branca,BR,87.13,broken clouds,-5.8922,-42.6361,Água branca do Piauí pi
643,Darab,IR,86.5,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
646,Tete,MZ,75.29,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
648,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
649,Basco,PH,84.31,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
650,Ranong,TH,77.29,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
652,Komsomolskiy,UZ,75.92,few clouds,40.4272,71.7189,Ikathouse
653,Kutum,SD,77.25,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
660,Aripuana,BR,79.29,clear sky,-9.1667,-60.6333,
662,Quebec,CA,77.2,overcast clouds,46.8123,-71.2145,Hilton Quebec
664,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
666,Dayong,CN,82.08,scattered clouds,25.0209,118.2898,Haiyue Express Hotel
667,Takoradi,GH,76.55,light rain,4.8845,-1.7554,Raybow International Hotel
670,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
676,Jalu,LY,84.06,scattered clouds,29.0331,21.5482,صاحبة الفخامة
678,Xinyu,CN,80.49,broken clouds,27.8043,114.9334,Xinyu Beihu Hotel
682,Jasper,US,89.53,clear sky,37.2001,-94.3502,Guest House Motel
683,Bonthe,SL,76.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
684,Amarpur,IN,82.53,overcast clouds,25.0333,86.9,Amit kirana store
686,Meadow Lake,US,86.77,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
690,Abu Kamal,SY,89.91,clear sky,34.4506,40.9171,محطة التلفاز
694,Palu,ID,76.44,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
696,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
699,Beyneu,KZ,79.86,few clouds,45.3167,55.2,NUR
700,Sinnamary,GF,78.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
708,Franklin,US,86.04,scattered clouds,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
709,Fort Morgan,US,81.82,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
710,Porto Nacional,BR,80.6,clear sky,-10.7081,-48.4172,Vila Real Hotel
714,Catio,GW,79.07,overcast clouds,11.2833,-15.25,Pausada Morabedja
716,Hirara,JP,82.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
718,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
720,Oriximina,BR,81.21,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
721,Urucara,BR,80.24,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
722,Tabligbo,TG,78.62,overcast clouds,6.5833,1.5,HÔTEL LA TOLÉRANCE
724,Djambala,CG,78.33,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
726,Fort Saint James,CA,81.05,scattered clouds,54.4333,-124.25,The View Hotel
728,Cairns,AU,79.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
729,South River,US,88.86,scattered clouds,40.4465,-74.386,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
732,Guerrero Negro,MX,78.15,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
733,Douentza,ML,82.94,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
737,Nautla,MX,79.59,overcast clouds,20.2167,-96.7833,Casa Blanca
739,Bongandanga,CD,76.78,overcast clouds,1.5,21.05,
747,Hamilton,US,87.26,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
748,Monaragala,LK,76.82,overcast clouds,6.8714,81.3487,Silanrich Hotel
751,Puerto Madero,MX,86.2,broken clouds,14.7208,-92.4215,Hotel La Central
755,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
761,Saint-Andre-Avellin,CA,84.72,broken clouds,45.7168,-75.066,Auberge Petite-Nation
779,Mongo,TD,78.71,broken clouds,12.1844,18.693,Résidences du Programme FIDA
783,Jurado,CO,78.73,broken clouds,7.1053,-77.7641,
786,Pozo Colorado,PY,83.14,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
790,Aplahoue,BJ,75.36,overcast clouds,6.9333,1.6833,Hotel ARNOGOS
803,Marsa Matruh,EG,78.15,clear sky,31.3525,27.2453,Beau Site
804,Lexington-Fayette,US,84.29,broken clouds,38.0498,-84.4585,Hilton Lexington/Downtown
807,Dickinson,US,88.12,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
810,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
