City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Nyandoma,RU,61.669,40.1991,66.31,61,67,3.33,broken clouds
143,Klaksvik,FO,62.2266,-6.589,52.72,87,63,24.96,broken clouds
144,Nyurba,RU,63.2842,118.3319,56.35,69,100,12.26,overcast clouds
145,Sao Filipe,CV,14.8961,-24.4956,75.0,87,65,11.32,broken clouds
146,Kabalo,CD,-6.05,26.9167,74.84,38,8,3.98,clear sky
147,Bereda,ES,43.2686,-7.5406,59.92,94,63,6.24,broken clouds
148,Larsnes,NO,62.2028,5.5773,65.86,87,96,10.18,overcast clouds
149,Shirokiy,RU,49.758,129.523,74.21,98,99,10.58,overcast clouds
150,Tuktoyaktuk,CA,69.4541,-133.0374,38.57,71,100,21.0,overcast clouds
151,Ejido,VE,8.5514,-71.2375,69.84,92,85,2.26,overcast clouds
152,Tehachapi,US,35.1322,-118.449,97.39,22,74,13.0,broken clouds
153,Road Town,VG,18.4167,-64.6167,82.44,74,40,6.91,scattered clouds
154,Severo-Kurilsk,RU,50.6789,156.125,52.65,95,100,15.73,moderate rain
155,Pangnirtung,CA,66.1451,-65.7125,50.92,65,82,7.96,broken clouds
156,Souillac,MU,-20.5167,57.5167,70.18,73,20,11.5,few clouds
157,Eyl,SO,7.9803,49.8164,78.55,72,54,24.52,broken clouds
158,Benguela,AO,-12.5763,13.4055,68.07,90,11,6.33,few clouds
159,Kysyl-Syr,RU,63.8986,122.7617,56.79,51,100,11.07,overcast clouds
160,Mukhen,RU,48.1,136.1,81.93,64,95,7.29,overcast clouds
161,Portland,US,45.5234,-122.6762,87.89,44,20,3.0,smoke
162,Santa Rosalia,MX,27.3167,-112.2833,86.65,54,35,7.09,scattered clouds
163,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.08,96,74,1.79,broken clouds
164,Mokhsogollokh,RU,61.4681,128.9203,70.68,57,72,1.77,broken clouds
165,Chokurdakh,RU,70.6333,147.9167,41.09,88,100,18.05,light rain
166,Mehamn,NO,71.0357,27.8492,47.34,91,79,4.21,broken clouds
167,Provideniya,RU,64.3833,-173.3,48.31,81,20,15.66,fog
168,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
169,Carnarvon,AU,-24.8667,113.6333,53.67,56,66,8.05,broken clouds
170,Nikolskoye,RU,59.7035,30.7861,73.29,92,100,2.19,overcast clouds
171,Khatanga,RU,71.9667,102.5,45.91,71,100,20.07,overcast clouds
172,Inhambane,MZ,-23.865,35.3833,68.41,63,97,13.76,overcast clouds
173,Lata,PT,40.1629,-8.3327,62.06,67,83,2.84,broken clouds
174,Kangaatsiaq,GL,68.3065,-53.4641,40.06,97,99,12.48,light rain
175,Georgetown,MY,5.4112,100.3354,80.89,63,40,1.01,scattered clouds
176,Waingapu,ID,-9.6567,120.2641,72.82,80,11,8.57,few clouds
177,Nantucket,US,41.2835,-70.0995,79.25,94,90,8.05,fog
178,Fairbanks,US,64.8378,-147.7164,60.76,83,90,10.36,overcast clouds
179,Caxito,AO,-8.5785,13.6643,70.45,95,56,3.15,broken clouds
180,Pevek,RU,69.7008,170.3133,39.88,89,100,1.66,overcast clouds
181,Pangody,RU,65.85,74.4859,50.27,57,100,6.71,overcast clouds
182,Lazaro Cardenas,MX,17.9583,-102.2,85.14,74,78,8.14,broken clouds
183,Alofi,NU,-19.0595,-169.9187,82.29,78,75,6.91,broken clouds
184,Trinidad,BO,-14.8333,-64.9,85.98,66,20,4.61,few clouds
185,Santiago Del Estero,AR,-27.7951,-64.2615,59.81,62,20,7.49,few clouds
186,De Aar,ZA,-30.6497,24.0123,32.58,37,0,2.01,clear sky
187,Upernavik,GL,72.7868,-56.1549,39.61,97,100,15.14,light rain
188,La Ronge,CA,55.1001,-105.2842,73.69,34,11,6.35,few clouds
189,Elko,US,41.0002,-115.5012,96.82,4,33,10.0,scattered clouds
190,Raudeberg,NO,61.9875,5.1352,60.19,89,90,17.13,overcast clouds
191,Porec,HR,45.2258,13.5939,66.36,65,77,9.91,broken clouds
192,Taoudenni,ML,22.6783,-3.9836,101.05,4,0,9.01,clear sky
193,Avarua,CK,-21.2078,-159.775,80.65,74,40,11.5,scattered clouds
194,San Cristobal,VE,7.7669,-72.225,82.58,74,30,4.47,scattered clouds
195,Iranshahr,IR,27.2025,60.6848,88.72,51,100,2.24,overcast clouds
196,Hofn,IS,64.2539,-15.2082,52.84,68,64,8.84,broken clouds
197,Tangermunde,DE,52.5446,11.9765,66.81,84,1,3.13,clear sky
198,Yumen,CN,40.2833,97.2,73.18,45,85,5.37,overcast clouds
199,Touho,NC,-20.7833,165.2333,70.03,70,97,15.17,overcast clouds
200,La Asuncion,VE,11.0333,-63.8628,85.73,66,66,17.27,broken clouds
201,Murray Bridge,AU,-35.1167,139.2667,55.15,74,31,12.57,scattered clouds
202,Blythe,US,33.6103,-114.5964,109.04,24,40,18.41,scattered clouds
